,Company,Index
0,ACRS,56
1,AEYE,99
2,AIHS,139
3,ALPN,191
4,AMRS,238
5,AMTX,245
6,APPS,292
7,APWC,301
8,AQB,304
9,AQMS,305
10,AREC,323
11,ATOM,390
12,AWH,435
13,BE,528
14,BEAM,529
15,BGFV,546
16,BLNK,597
17,BNGO,617
18,BRN,654
19,BWEN,686
20,CBLI,758
21,CELH,811
22,CLIR,911
23,CLNE,914
24,CMRX,957
25,CMT,960
26,COCP,987
27,COGT,993
28,CPSH,1033
29,CPST,1036
30,CRIS,1051
31,CRNC,1057
32,DQ,1280
33,ECOR,1347
34,EH,1371
35,EMAN,1393
36,ENG,1403
37,ENPH,1409
38,EVGN,1481
39,EXPI,1505
40,FBRX,1537
41,FCEL,1545
42,FENG,1557
43,FIT,1582
44,FLGT,1593
45,FRSX,1656
46,FTEK,1673
47,FUTU,1687
48,FUV,1688
49,FVRR,1690
50,GEVO,1729
51,GME,1784
52,GRWG,1845
53,GTEC,1868
54,HOME,1986
55,HUSN,2041
56,IDEX,2087
57,IEA,2094
58,INMB,2149
59,INOD,2153
60,INUV,2168
61,IPWR,2187
62,IZEA,2231
63,JAGX,2234
64,JMIA,2263
65,JOB,2267
66,KIRK,2318
67,KOPN,2345
68,LAC,2377
69,LAZY,2393
70,LOVE,2490
71,LPCN,2492
72,LPTH,2499
73,MGEN,2632
74,MRNA,2737
75,MWK,2800
76,MYT,2812
77,NETE,2856
78,NIO,2888
79,NLS,2898
80,NNDM,2916
81,NOVN,2928
82,NTLA,2960
83,NTZ,2969
84,OIIM,3057
85,OPTT,3096
86,OTRK,3129
87,PACB,3146
88,PECK,3205
89,PENN,3215
90,PLL,3280
91,PLUG,3288
92,POLA,3310
93,POWW,3316
94,PPSI,3322
95,PRTY,3351
96,RUN,3576
97,RVP,3584
98,SAVA,3621
99,SGBX,3696
100,SITM,3744
101,SOL,3821
102,SPI,3836
103,SPWR,3852
104,SRRK,3873
105,STIM,3907
106,SUNW,3938
107,SURF,3942
108,SYPR,3976
109,TMDI,4107
110,TRXC,4179
111,TSLA,4186
112,TUSK,4205
113,TWST,4218
114,UAVS,4233
115,UUU,4315
116,VERI,4347
117,VOXX,4395
118,VTOL,4421
119,VUZI,4425
120,VVPR,4428
121,WKHS,4488
122,WLL,4492
123,XELA,4559
124,ZDGE,4613
