,Company,Index
0,ACRS,56
1,AEYE,99
2,AGE,111
3,AIHS,139
4,ALPN,191
5,ALTM,198
6,AMRS,238
7,AMSC,241
8,AMTX,245
9,APPN,291
10,APPS,292
11,APWC,301
12,AQB,304
13,AQMS,305
14,AR,309
15,AREC,323
16,ATOM,390
17,AVGR,423
18,AWH,435
19,AZRE,463
20,BCRX,517
21,BDR,524
22,BE,528
23,BEAM,529
24,BGFV,546
25,BGI,547
26,BILI,563
27,BLDP,589
28,BLNK,597
29,BNGO,617
30,BNTX,621
31,BRN,654
32,BRPA,657
33,BWEN,686
34,BWMX,689
35,BXC,692
36,CALX,726
37,CBLI,758
38,CDNA,796
39,CELH,811
40,CHWY,869
41,CLIR,911
42,CLNE,914
43,CLPT,921
44,CMBM,936
45,CMRX,957
46,CMT,960
47,CNET,967
48,COCP,987
49,COGT,993
50,CPSH,1033
51,CPST,1036
52,CRIS,1051
53,CRNC,1057
54,CRWD,1071
55,CTRA,1111
56,CVNA,1146
57,CYH,1176
58,CYRX,1178
59,DAC,1186
60,DDD,1206
61,DKNG,1242
62,DMTK,1262
63,DQ,1280
64,DRIO,1285
65,DXYN,1321
66,ECOR,1347
67,EH,1371
68,EKSO,1379
69,ELA,1381
70,EMAN,1393
71,ENG,1403
72,ENPH,1409
73,ETSY,1472
74,EVGN,1481
75,EVLO,1485
76,EXPI,1505
77,FATE,1526
78,FBRX,1537
79,FCEL,1545
80,FENG,1557
81,FIT,1582
82,FLGT,1593
83,FRSX,1656
84,FSLY,1664
85,FTCH,1671
86,FTEK,1673
87,FUTU,1687
88,FUV,1688
89,FVRR,1690
90,GBR,1705
91,GEVO,1729
92,GME,1784
93,GOGO,1810
94,GRVY,1844
95,GRWG,1845
96,GSAT,1851
97,GSM,1860
98,GTEC,1868
99,HGSH,1940
100,HOME,1986
101,HUSN,2041
102,HZN,2057
103,ICLK,2080
104,IDEX,2087
105,IDRA,2089
106,IEA,2094
107,IGMS,2104
108,IMAB,2120
109,INMB,2149
110,INOD,2153
111,INTZ,2167
112,INUV,2168
113,IPWR,2187
114,IZEA,2231
115,JAGX,2234
116,JKS,2261
117,JMIA,2263
118,JOB,2267
119,KIRK,2318
120,KOPN,2345
121,LAC,2377
122,LAZY,2393
123,LCTX,2407
124,LEU,2422
125,LIVE,2449
126,LIVX,2451
127,LL,2458
128,LMB,2463
129,LOVE,2490
130,LPCN,2492
131,LPTH,2499
132,LQDT,2503
133,LXRX,2530
134,MAXR,2560
135,MFA-PB,2620
136,MGEN,2632
137,MGNI,2637
138,MHLD,2650
139,MIK,2655
140,MITT-PA,2663
141,MN,2691
142,MOGO,2707
143,MRNA,2737
144,MSTR,2762
145,MTLS,2778
146,MTSL,2788
147,MWK,2800
148,MYT,2812
149,NET,2855
150,NETE,2856
151,NFE,2866
152,NIO,2888
153,NIU,2889
154,NK,2891
155,NLS,2898
156,NNDM,2916
157,NOVA,2927
158,NOVN,2928
159,NTLA,2960
160,NTRA,2965
161,NTZ,2969
162,NVTA,2991
163,NYMTO,3013
164,OCUL,3033
165,OIIM,3057
166,ONCS,3073
167,OPRX,3094
168,OPTT,3096
169,OTRK,3129
170,PACB,3146
171,PDCE,3190
172,PDD,3192
173,PECK,3205
174,PENN,3215
175,PGEN,3238
176,PINS,3259
177,PLL,3280
178,PLUG,3288
179,POLA,3310
180,POWW,3316
181,PPSI,3322
182,PRPL,3343
183,PRTY,3351
184,PSNL,3364
185,PTGX,3375
186,PTON,3378
187,QEP,3406
188,QRTEB,3417
189,QTRX,3421
190,QUMU,3427
191,RDFN,3460
192,REGI,3478
193,REKR,3481
194,RHE,3513
195,RNET,3545
196,RUN,3576
197,RVP,3584
198,SAVA,3621
199,SBE,3629
200,SDGR,3664
201,SE,3666
202,SEED,3673
203,SFIX,3688
204,SGBX,3696
205,SI,3721
206,SITM,3744
207,SMMT,3785
208,SMTS,3790
209,SOL,3821
210,SPI,3836
211,SPWR,3852
212,SRRK,3873
213,STIM,3907
214,STKL,3908
215,SUNW,3938
216,SURF,3942
217,SYPR,3976
218,TCON,4020
219,TCS,4023
220,TFFP,4054
221,TGC,4061
222,TGTX,4071
223,TIGR,4087
224,TMDI,4107
225,TPIC,4137
226,TRCH,4145
227,TRIB,4152
228,TRUP,4173
229,TRXC,4179
230,TSLA,4186
231,TUSK,4205
232,TWST,4218
233,UAMY,4232
234,UAVS,4233
235,UMC,4267
236,UPWK,4284
237,UUU,4315
238,VERI,4347
239,VNET,4386
240,VOXX,4395
241,VTGN,4419
242,VTOL,4421
243,VUZI,4425
244,VVPR,4428
245,WKHS,4488
246,WLL,4492
247,WPRT,4510
248,XBIO,4554
249,XELA,4559
250,XPEL,4576
251,XTLB,4583
252,YCBD,4589
253,YRCW,4600
254,YTEN,4602
255,ZDGE,4613
256,ZG,4617
257,ZS,4628
258,ZVO,4634
